symbol_code,timestamp,open,high,low,close,volume,adjustment_basis
TEST0001,2024-12-19T15:30:00+09:00,698.0,705.0,694.0,700.0,380000,synthetic_split_adjusted
TEST0001,2024-12-20T15:30:00+09:00,709.14,716.14,705.14,711.14,391389,synthetic_split_adjusted
TEST0001,2024-12-23T15:30:00+09:00,720.07,727.07,716.07,722.07,402547,synthetic_split_adjusted
TEST0001,2024-12-24T15:30:00+09:00,730.61,737.61,726.61,732.61,413245,synthetic_split_adjusted
TEST0001,2024-12-25T15:30:00+09:00,740.54,747.54,736.54,742.54,423266,synthetic_split_adjusted
TEST0001,2024-12-26T15:30:00+09:00,749.71,756.71,745.71,751.71,432406,synthetic_split_adjusted
TEST0001,2024-12-27T15:30:00+09:00,757.94,764.94,753.94,759.94,440478,synthetic_split_adjusted
TEST0001,2024-12-30T15:30:00+09:00,765.08,772.08,761.08,767.08,447317,synthetic_split_adjusted
TEST0001,2024-12-31T15:30:00+09:00,771.01,778.01,767.01,773.01,452785,synthetic_split_adjusted
TEST0001,2025-01-01T15:30:00+09:00,775.63,782.63,771.63,777.63,456771,synthetic_split_adjusted
TEST0001,2025-01-02T15:30:00+09:00,778.86,785.86,774.86,780.86,459192,synthetic_split_adjusted
TEST0001,2025-01-03T15:30:00+09:00,780.65,787.65,776.65,782.65,459999,synthetic_split_adjusted
TEST0001,2025-01-06T15:30:00+09:00,780.99,787.99,776.99,782.99,459177,synthetic_split_adjusted
TEST0001,2025-01-07T15:30:00+09:00,779.87,786.87,775.87,781.87,456742,synthetic_split_adjusted
TEST0001,2025-01-08T15:30:00+09:00,777.34,784.34,773.34,779.34,452743,synthetic_split_adjusted
TEST0001,2025-01-09T15:30:00+09:00,773.45,780.45,769.45,775.45,447262,synthetic_split_adjusted
TEST0001,2025-01-10T15:30:00+09:00,768.3,775.3,764.3,770.3,440411,synthetic_split_adjusted
TEST0001,2025-01-13T15:30:00+09:00,762.0,769.0,758.0,764.0,432329,synthetic_split_adjusted
TEST0001,2025-01-14T15:30:00+09:00,754.68,761.68,750.68,756.68,423181,synthetic_split_adjusted
TEST0001,2025-01-15T15:30:00+09:00,746.51,753.51,742.51,748.51,413153,synthetic_split_adjusted
TEST0001,2025-01-16T15:30:00+09:00,737.65,744.65,733.65,739.65,402450,synthetic_split_adjusted
TEST0001,2025-01-17T15:30:00+09:00,728.29,735.29,724.29,730.29,391289,synthetic_split_adjusted
TEST0001,2025-01-20T15:30:00+09:00,718.63,725.63,714.63,720.63,379898,synthetic_split_adjusted
TEST0001,2025-01-21T15:30:00+09:00,708.87,715.87,704.87,710.87,368510,synthetic_split_adjusted
TEST0001,2025-01-22T15:30:00+09:00,699.21,706.21,695.21,701.21,357355,synthetic_split_adjusted
TEST0001,2025-01-23T15:30:00+09:00,689.85,696.85,685.85,691.85,346662,synthetic_split_adjusted
TEST0001,2025-01-24T15:30:00+09:00,680.99,687.99,676.99,682.99,336648,synthetic_split_adjusted
TEST0001,2025-01-27T15:30:00+09:00,672.82,679.82,668.82,674.82,327517,synthetic_split_adjusted
TEST0001,2025-01-28T15:30:00+09:00,665.5,672.5,661.5,667.5,319455,synthetic_split_adjusted
TEST0001,2025-01-29T15:30:00+09:00,659.2,666.2,655.2,661.2,312627,synthetic_split_adjusted
TEST0001,2025-01-30T15:30:00+09:00,654.05,661.05,650.05,656.05,307172,synthetic_split_adjusted
TEST0001,2025-01-31T15:30:00+09:00,650.16,657.16,646.16,652.16,303200,synthetic_split_adjusted
TEST0001,2025-02-03T15:30:00+09:00,647.63,654.63,643.63,649.63,300793,synthetic_split_adjusted
TEST0001,2025-02-04T15:30:00+09:00,646.51,653.51,642.51,648.51,300000,synthetic_split_adjusted
TEST0001,2025-02-05T15:30:00+09:00,646.85,653.85,642.85,648.85,300836,synthetic_split_adjusted
TEST0001,2025-02-06T15:30:00+09:00,648.64,655.64,644.64,650.64,303286,synthetic_split_adjusted
TEST0001,2025-02-07T15:30:00+09:00,651.87,658.87,647.87,653.87,307298,synthetic_split_adjusted
TEST0001,2025-02-10T15:30:00+09:00,656.49,663.49,652.49,658.49,312791,synthetic_split_adjusted
TEST0001,2025-02-11T15:30:00+09:00,662.42,669.42,658.42,664.42,319654,synthetic_split_adjusted
TEST0001,2025-02-12T15:30:00+09:00,669.56,676.56,665.56,671.56,327746,synthetic_split_adjusted
TEST0001,2025-02-13T15:30:00+09:00,677.79,684.79,673.79,679.79,336903,synthetic_split_adjusted
TEST0001,2025-02-14T15:30:00+09:00,686.96,693.96,682.96,688.96,346938,synthetic_split_adjusted
TEST0001,2025-02-17T15:30:00+09:00,696.89,703.89,692.89,698.89,357646,synthetic_split_adjusted
TEST0001,2025-02-18T15:30:00+09:00,707.43,714.43,703.43,709.43,368810,synthetic_split_adjusted
TEST0001,2025-02-19T15:30:00+09:00,718.36,725.36,714.36,720.36,380202,synthetic_split_adjusted
TEST0001,2025-02-20T15:30:00+09:00,729.5,736.5,725.5,731.5,391589,synthetic_split_adjusted
TEST0001,2025-02-21T15:30:00+09:00,740.64,747.64,736.64,742.64,402741,synthetic_split_adjusted
TEST0001,2025-02-24T15:30:00+09:00,751.57,758.57,747.57,753.57,413429,synthetic_split_adjusted
TEST0001,2025-02-25T15:30:00+09:00,762.11,769.11,758.11,764.11,423436,synthetic_split_adjusted
TEST0001,2025-02-26T15:30:00+09:00,772.04,779.04,768.04,774.04,432558,synthetic_split_adjusted
TEST0001,2025-02-27T15:30:00+09:00,781.21,788.21,777.21,783.21,440610,synthetic_split_adjusted
TEST0001,2025-02-28T15:30:00+09:00,789.44,796.44,785.44,791.44,447426,synthetic_split_adjusted
TEST0001,2025-03-03T15:30:00+09:00,796.58,803.58,792.58,798.58,452869,synthetic_split_adjusted
TEST0001,2025-03-04T15:30:00+09:00,802.51,809.51,798.51,804.51,456827,synthetic_split_adjusted
TEST0001,2025-03-05T15:30:00+09:00,807.13,814.13,803.13,809.13,459220,synthetic_split_adjusted
TEST0001,2025-03-06T15:30:00+09:00,810.36,817.36,806.36,812.36,459999,synthetic_split_adjusted
TEST0001,2025-03-07T15:30:00+09:00,812.15,819.15,808.15,814.15,459148,synthetic_split_adjusted
TEST0001,2025-03-10T15:30:00+09:00,812.49,819.49,808.49,814.49,456685,synthetic_split_adjusted
TEST0001,2025-03-11T15:30:00+09:00,811.37,818.37,807.37,813.37,452659,synthetic_split_adjusted
TEST0001,2025-03-12T15:30:00+09:00,808.84,815.84,804.84,810.84,447153,synthetic_split_adjusted
TEST0001,2025-03-13T15:30:00+09:00,804.95,811.95,800.95,806.95,440278,synthetic_split_adjusted
TEST0001,2025-03-14T15:30:00+09:00,799.8,806.8,795.8,801.8,432176,synthetic_split_adjusted
TEST0001,2025-03-17T15:30:00+09:00,793.5,800.5,789.5,795.5,423011,synthetic_split_adjusted
TEST0001,2025-03-18T15:30:00+09:00,786.18,793.18,782.18,788.18,412969,synthetic_split_adjusted
TEST0001,2025-03-19T15:30:00+09:00,778.01,785.01,774.01,780.01,402256,synthetic_split_adjusted
TEST0001,2025-03-20T15:30:00+09:00,769.15,776.15,765.15,771.15,391089,synthetic_split_adjusted
TEST0001,2025-03-21T15:30:00+09:00,759.79,766.79,755.79,761.79,379696,synthetic_split_adjusted
TEST0001,2025-03-24T15:30:00+09:00,750.13,757.13,746.13,752.13,368309,synthetic_split_adjusted
TEST0001,2025-03-25T15:30:00+09:00,740.37,747.37,736.37,742.37,357161,synthetic_split_adjusted
TEST0001,2025-03-26T15:30:00+09:00,730.71,737.71,726.71,732.71,346478,synthetic_split_adjusted
